,Gender,Customer Type,Age,Type of Travel,Class,Inflight wifi service,Ease of Online booking,Food and drink,Seat comfort,On-board service,Baggage handling,Checkin service,Inflight service,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
109,Female,Loyal Customer,32,Business travel,Business,5,4,4,4,5,5,5,5,2,0,satisfied
110,Male,Loyal Customer,45,Business travel,Eco,4,1,4,4,2,2,4,3,0,7,neutral or dissatisfied
111,Male,disloyal Customer,25,Business travel,Eco,2,2,3,3,1,3,1,4,0,24,neutral or dissatisfied
112,Female,Loyal Customer,45,Business travel,Business,5,5,4,4,4,4,5,4,0,0,satisfied
113,Male,Loyal Customer,34,Personal Travel,Eco,3,0,1,1,1,5,2,3,0,0,neutral or dissatisfied
114,Male,Loyal Customer,20,Personal Travel,Eco Plus,3,3,1,1,3,4,4,5,5,2,neutral or dissatisfied
115,Female,disloyal Customer,36,Business travel,Eco,2,2,1,1,4,3,1,2,16,6,neutral or dissatisfied
116,Male,disloyal Customer,36,Business travel,Eco,3,3,2,2,3,3,1,3,0,0,neutral or dissatisfied
117,Male,Loyal Customer,27,Business travel,Business,1,1,5,5,4,2,2,1,0,0,satisfied
118,Male,Loyal Customer,40,Personal Travel,Eco,3,2,3,3,4,3,3,4,0,0,neutral or dissatisfied
119,Male,Loyal Customer,31,Business travel,Business,4,4,5,5,4,4,3,4,0,4,satisfied
120,Male,Loyal Customer,25,Business travel,Eco Plus,0,0,1,1,3,4,5,5,0,0,satisfied
121,Male,Loyal Customer,42,Business travel,Business,2,2,1,3,5,5,4,5,0,0,satisfied
122,Female,Loyal Customer,45,Business travel,Eco,5,1,1,3,5,5,1,5,29,40,satisfied
123,Male,Loyal Customer,59,Personal Travel,Business,2,2,4,3,3,3,2,3,0,11,neutral or dissatisfied
124,Male,Loyal Customer,34,Personal Travel,Eco,3,3,2,5,5,1,3,1,3,8,neutral or dissatisfied
125,Female,Loyal Customer,22,Personal Travel,Eco,3,3,3,1,1,1,3,2,0,17,neutral or dissatisfied
126,Male,Loyal Customer,21,Personal Travel,Eco,2,2,2,3,3,3,2,4,0,0,neutral or dissatisfied
127,Male,Loyal Customer,26,Business travel,Business,3,1,3,3,1,4,2,3,27,10,neutral or dissatisfied
128,Male,Loyal Customer,37,Business travel,Business,2,2,5,1,4,4,1,4,94,86,satisfied
129,Male,Loyal Customer,38,Business travel,Business,2,2,2,2,4,4,1,4,0,0,satisfied
130,Female,Loyal Customer,17,Personal Travel,Eco,3,3,5,3,3,5,5,5,0,0,neutral or dissatisfied
131,Male,Loyal Customer,15,Personal Travel,Eco Plus,2,2,5,5,5,5,5,5,5,8,neutral or dissatisfied
132,Female,Loyal Customer,53,Personal Travel,Eco,3,3,4,4,5,5,1,5,0,0,neutral or dissatisfied
133,Male,disloyal Customer,39,Business travel,Business,4,4,2,2,3,5,3,4,93,88,neutral or dissatisfied
134,Male,Loyal Customer,40,Business travel,Business,4,4,2,5,5,5,3,5,0,0,satisfied
135,Female,disloyal Customer,28,Business travel,Eco Plus,2,2,4,4,3,3,1,3,0,46,neutral or dissatisfied
136,Female,disloyal Customer,27,Business travel,Business,3,3,2,2,4,5,3,5,10,0,neutral or dissatisfied
137,Female,Loyal Customer,41,Business travel,Business,5,5,3,5,4,4,4,4,0,0,satisfied
138,Female,Loyal Customer,7,Personal Travel,Eco,2,2,5,5,5,5,5,4,0,0,neutral or dissatisfied
139,Male,disloyal Customer,48,Business travel,Business,3,3,2,2,4,5,4,5,2,1,neutral or dissatisfied
140,Male,Loyal Customer,13,Business travel,Eco,2,1,2,2,4,3,3,4,0,0,neutral or dissatisfied
141,Female,Loyal Customer,48,Business travel,Business,3,3,4,4,4,4,3,4,0,0,satisfied
142,Female,Loyal Customer,49,Personal Travel,Eco,3,3,5,3,4,4,1,4,8,3,neutral or dissatisfied
143,Male,disloyal Customer,26,Business travel,Business,5,5,1,1,4,5,5,5,5,0,satisfied
144,Male,Loyal Customer,22,Business travel,Business,2,2,3,3,2,3,5,3,0,0,satisfied
145,Female,Loyal Customer,53,Business travel,Business,3,5,1,1,4,4,1,2,180,178,neutral or dissatisfied
146,Female,Loyal Customer,43,Business travel,Eco,4,4,3,5,4,4,5,4,0,0,satisfied
147,Male,Loyal Customer,56,Business travel,Business,1,1,2,4,4,5,4,4,0,0,satisfied
148,Female,Loyal Customer,69,Personal Travel,Eco,3,2,3,4,5,5,1,5,0,0,neutral or dissatisfied
149,Male,Loyal Customer,59,Personal Travel,Eco,4,4,1,1,1,4,2,4,0,0,satisfied
150,Female,Loyal Customer,56,Business travel,Business,5,3,5,5,2,2,4,2,9,0,satisfied
151,Male,Loyal Customer,11,Personal Travel,Eco,5,5,3,3,4,5,1,2,0,0,satisfied
152,Female,Loyal Customer,25,Business travel,Eco,4,3,4,3,3,4,5,1,86,78,satisfied
153,Female,disloyal Customer,29,Business travel,Eco,4,4,2,2,1,2,2,2,0,0,satisfied
154,Female,Loyal Customer,48,Business travel,Eco,5,3,1,1,5,5,1,5,0,0,satisfied
155,Female,Loyal Customer,42,Business travel,Business,1,1,4,4,4,4,2,4,0,0,satisfied
156,Male,disloyal Customer,15,Business travel,Eco,1,1,3,4,1,5,4,5,0,0,neutral or dissatisfied
157,Female,disloyal Customer,49,Business travel,Business,3,4,2,2,4,5,5,4,0,0,neutral or dissatisfied
158,Male,Loyal Customer,41,Business travel,Business,2,2,5,4,4,4,5,4,29,18,satisfied
159,Male,Loyal Customer,43,Business travel,Business,1,2,3,4,2,2,4,2,0,0,satisfied
160,Male,Loyal Customer,60,Business travel,Business,5,2,4,5,5,5,5,5,0,0,satisfied
161,Female,Loyal Customer,42,Personal Travel,Eco,4,4,3,3,3,1,2,3,0,0,satisfied
162,Female,Loyal Customer,8,Personal Travel,Eco,3,3,4,4,5,2,4,3,0,0,neutral or dissatisfied
163,Female,Loyal Customer,42,Business travel,Eco,5,3,5,5,5,5,5,5,82,72,satisfied
164,Male,disloyal Customer,18,Business travel,Eco Plus,1,1,3,3,2,4,1,3,32,41,neutral or dissatisfied
165,Male,Loyal Customer,47,Business travel,Business,2,2,3,3,5,5,3,5,0,0,satisfied
166,Female,disloyal Customer,27,Business travel,Eco,4,4,5,5,2,3,2,3,16,12,neutral or dissatisfied
167,Female,Loyal Customer,67,Personal Travel,Eco Plus,3,3,5,2,1,1,1,1,100,91,neutral or dissatisfied
168,Male,disloyal Customer,38,Business travel,Business,5,5,2,2,5,4,3,5,0,0,satisfied
169,Female,disloyal Customer,20,Business travel,Eco,4,4,3,3,4,4,5,4,0,0,neutral or dissatisfied
170,Female,Loyal Customer,60,Business travel,Business,2,1,4,4,5,5,3,5,1,0,satisfied
171,Male,disloyal Customer,23,Business travel,Business,4,4,4,4,3,5,3,4,9,1,satisfied
172,Male,disloyal Customer,25,Business travel,Business,3,3,2,2,4,5,4,4,0,0,neutral or dissatisfied
173,Female,Loyal Customer,38,Business travel,Business,3,3,3,5,4,4,3,4,0,0,satisfied
174,Female,Loyal Customer,40,Business travel,Business,1,1,3,5,5,5,5,5,0,4,satisfied
175,Male,Loyal Customer,19,Personal Travel,Eco,3,3,1,1,5,5,4,4,0,0,neutral or dissatisfied
176,Female,Loyal Customer,61,Business travel,Business,3,3,4,4,4,4,4,4,6,0,satisfied
177,Male,Loyal Customer,44,Personal Travel,Eco,3,3,5,5,5,3,4,4,25,6,neutral or dissatisfied
178,Female,Loyal Customer,22,Personal Travel,Eco,3,3,3,3,4,5,3,5,34,35,neutral or dissatisfied
179,Female,disloyal Customer,8,Business travel,Eco,2,2,3,3,1,3,4,3,2,0,neutral or dissatisfied
180,Female,Loyal Customer,45,Business travel,Business,3,4,3,4,3,3,4,3,25,16,neutral or dissatisfied
181,Male,Loyal Customer,46,Personal Travel,Eco,4,4,1,1,2,3,3,5,40,25,satisfied
182,Female,Loyal Customer,54,Business travel,Business,3,5,4,4,3,3,3,3,90,77,neutral or dissatisfied
183,Male,Loyal Customer,62,Personal Travel,Eco,2,1,1,1,1,3,2,3,0,0,neutral or dissatisfied
184,Female,Loyal Customer,25,Business travel,Business,5,5,2,2,5,2,1,3,0,0,satisfied
185,Female,Loyal Customer,32,Personal Travel,Eco,3,3,2,2,4,4,5,4,0,0,neutral or dissatisfied
186,Female,Loyal Customer,65,Personal Travel,Eco,4,4,4,4,1,1,4,1,1,3,neutral or dissatisfied
187,Male,disloyal Customer,40,Business travel,Business,2,2,2,2,4,4,3,5,0,0,neutral or dissatisfied
188,Female,Loyal Customer,30,Business travel,Eco Plus,0,0,2,2,4,3,4,5,0,0,satisfied
189,Female,Loyal Customer,67,Personal Travel,Eco,3,3,1,2,3,3,2,3,0,0,neutral or dissatisfied
190,Male,Loyal Customer,51,Business travel,Business,5,5,2,5,5,5,3,5,0,0,satisfied
191,Female,Loyal Customer,47,Business travel,Business,5,4,5,5,5,5,4,5,1,3,satisfied
192,Female,Loyal Customer,38,Business travel,Eco,1,4,1,1,2,3,3,3,8,0,neutral or dissatisfied
193,Male,Loyal Customer,54,Business travel,Business,1,1,5,4,4,4,3,4,0,0,satisfied
194,Female,Loyal Customer,57,Personal Travel,Eco,1,0,3,3,1,3,5,1,0,4,neutral or dissatisfied
195,Male,Loyal Customer,13,Personal Travel,Eco,1,1,2,2,3,4,5,5,0,0,neutral or dissatisfied
196,Female,disloyal Customer,20,Business travel,Eco,4,4,4,4,3,4,4,5,0,0,satisfied
197,Female,Loyal Customer,45,Business travel,Business,2,2,2,1,2,2,3,2,23,94,neutral or dissatisfied
198,Female,Loyal Customer,51,Business travel,Business,2,2,3,5,3,3,3,3,0,0,satisfied
199,Male,disloyal Customer,25,Business travel,Business,0,0,2,2,4,4,5,5,0,0,satisfied
200,Female,Loyal Customer,39,Personal Travel,Eco,1,2,2,5,2,5,5,4,168,163,neutral or dissatisfied
201,Female,Loyal Customer,46,Business travel,Business,3,3,3,4,4,4,3,4,18,16,satisfied
202,Male,Loyal Customer,53,Business travel,Eco,1,3,1,1,1,3,4,4,0,0,neutral or dissatisfied
203,Female,Loyal Customer,61,Personal Travel,Eco,0,0,5,5,4,4,4,4,0,0,satisfied
204,Female,Loyal Customer,61,Business travel,Eco Plus,4,5,3,2,4,4,3,4,96,102,satisfied
205,Male,Loyal Customer,16,Personal Travel,Eco,3,3,4,4,5,4,5,4,45,42,neutral or dissatisfied
206,Female,Loyal Customer,44,Business travel,Business,2,1,2,3,2,2,3,2,0,1,neutral or dissatisfied
207,Female,Loyal Customer,17,Business travel,Business,5,5,5,5,1,3,1,5,16,0,satisfied
208,Female,Loyal Customer,50,Business travel,Eco,2,2,4,3,2,2,1,2,35,49,neutral or dissatisfied
209,Female,disloyal Customer,40,Business travel,Business,4,4,5,5,5,4,3,5,0,4,satisfied
210,Male,Loyal Customer,47,Business travel,Business,5,5,4,4,2,2,4,2,6,0,satisfied
211,Female,Loyal Customer,80,Business travel,Business,1,1,2,4,4,4,5,4,0,0,satisfied
212,Female,Loyal Customer,38,Personal Travel,Eco,5,5,4,4,1,3,4,3,0,0,satisfied
213,Male,Loyal Customer,31,Personal Travel,Eco,5,5,3,3,4,4,4,4,0,0,satisfied
214,Male,Loyal Customer,59,Business travel,Business,4,2,5,4,4,4,3,4,0,15,neutral or dissatisfied
215,Female,Loyal Customer,22,Business travel,Business,4,4,4,4,1,3,4,4,0,0,neutral or dissatisfied
216,Female,Loyal Customer,53,Business travel,Business,5,5,5,5,3,3,3,3,0,3,satisfied
217,Female,Loyal Customer,56,Business travel,Eco Plus,4,2,5,4,4,4,5,4,0,0,satisfied
218,Female,Loyal Customer,48,Personal Travel,Eco,4,5,2,5,3,3,5,3,0,0,neutral or dissatisfied
219,Male,disloyal Customer,38,Business travel,Business,3,3,2,2,5,5,3,4,2,25,neutral or dissatisfied
220,Male,Loyal Customer,64,Personal Travel,Eco,1,1,1,1,3,5,4,4,13,9,neutral or dissatisfied
221,Male,Loyal Customer,67,Personal Travel,Eco,2,2,5,3,4,4,3,5,0,0,neutral or dissatisfied
222,Female,Loyal Customer,62,Business travel,Business,2,4,3,2,4,4,1,4,0,0,satisfied
223,Male,Loyal Customer,57,Business travel,Business,1,1,2,5,4,4,5,4,16,15,satisfied
224,Female,disloyal Customer,27,Business travel,Eco,2,1,1,1,1,1,1,3,24,32,neutral or dissatisfied
225,Female,disloyal Customer,25,Business travel,Eco,1,1,5,5,1,4,1,4,13,11,neutral or dissatisfied
226,Female,Loyal Customer,52,Business travel,Eco,3,4,3,2,3,3,1,3,85,72,neutral or dissatisfied
227,Female,Loyal Customer,45,Business travel,Eco Plus,4,2,3,3,4,4,5,4,0,0,satisfied
228,Female,disloyal Customer,23,Business travel,Eco,3,3,1,1,2,3,3,3,6,13,neutral or dissatisfied
229,Male,Loyal Customer,55,Business travel,Eco,5,2,5,5,4,5,2,5,1,0,satisfied
230,Male,Loyal Customer,53,Business travel,Business,3,2,5,4,3,3,3,3,0,0,neutral or dissatisfied
231,Female,Loyal Customer,9,Personal Travel,Eco,4,4,1,1,5,4,4,4,11,4,satisfied
232,Male,Loyal Customer,33,Business travel,Business,2,3,4,4,5,5,3,4,86,85,satisfied
233,Male,disloyal Customer,64,Business travel,Business,3,3,3,3,4,4,4,4,3,0,neutral or dissatisfied
234,Female,disloyal Customer,8,Business travel,Eco,2,3,4,4,4,3,3,3,26,23,neutral or dissatisfied
235,Male,Loyal Customer,34,Personal Travel,Eco,4,4,3,3,3,5,3,5,34,15,neutral or dissatisfied
236,Male,Loyal Customer,59,Personal Travel,Eco,1,1,1,5,3,2,5,2,0,2,neutral or dissatisfied
237,Female,Loyal Customer,13,Business travel,Business,3,3,3,3,4,4,3,3,0,0,neutral or dissatisfied
238,Male,Loyal Customer,44,Personal Travel,Eco,4,4,2,2,2,1,4,5,0,0,neutral or dissatisfied
239,Male,Loyal Customer,54,Business travel,Business,1,1,4,5,4,4,4,4,0,0,satisfied
240,Male,Loyal Customer,36,Business travel,Business,4,4,3,4,5,5,5,5,10,0,satisfied
241,Female,Loyal Customer,11,Personal Travel,Eco,3,3,5,5,3,5,4,4,102,88,neutral or dissatisfied
242,Female,Loyal Customer,32,Personal Travel,Eco,1,1,5,5,5,5,5,4,12,9,neutral or dissatisfied
243,Male,Loyal Customer,42,Business travel,Eco,1,3,1,1,5,3,1,4,0,0,neutral or dissatisfied
244,Female,disloyal Customer,27,Business travel,Eco,1,1,2,2,1,3,3,1,4,0,neutral or dissatisfied
245,Male,Loyal Customer,33,Personal Travel,Eco,2,2,3,3,4,3,2,5,1,0,neutral or dissatisfied
246,Female,Loyal Customer,28,Business travel,Business,1,3,1,1,3,3,3,3,0,0,neutral or dissatisfied
247,Male,Loyal Customer,44,Personal Travel,Eco,4,0,2,2,3,4,5,5,0,0,satisfied
248,Male,disloyal Customer,49,Business travel,Eco,3,3,4,5,1,3,4,4,33,28,neutral or dissatisfied
249,Male,Loyal Customer,59,Business travel,Business,2,2,3,2,5,5,4,5,5,0,satisfied
250,Male,disloyal Customer,20,Business travel,Business,0,0,1,1,5,4,4,4,0,0,satisfied
251,Female,Loyal Customer,46,Business travel,Business,3,3,3,4,4,4,3,4,0,0,satisfied
252,Male,Loyal Customer,36,Business travel,Eco,5,5,5,5,1,3,1,3,0,0,satisfied
253,Female,Loyal Customer,62,Business travel,Business,2,2,5,4,4,4,4,4,19,16,satisfied
254,Male,Loyal Customer,59,Business travel,Business,3,3,2,4,3,3,4,3,15,14,satisfied
255,Female,Loyal Customer,29,Personal Travel,Eco,3,3,3,3,5,2,2,4,0,0,neutral or dissatisfied
256,Female,disloyal Customer,41,Business travel,Business,2,2,1,1,4,2,1,1,35,30,neutral or dissatisfied
257,Male,Loyal Customer,7,Personal Travel,Eco,1,1,4,4,4,1,5,4,0,0,neutral or dissatisfied
258,Female,Loyal Customer,65,Personal Travel,Business,3,3,4,4,3,3,4,3,40,44,neutral or dissatisfied
259,Male,Loyal Customer,50,Business travel,Business,2,2,5,4,4,2,4,2,0,9,satisfied
260,Female,Loyal Customer,20,Business travel,Eco,2,3,2,4,3,3,1,4,57,41,neutral or dissatisfied
261,Female,Loyal Customer,58,Business travel,Business,3,3,4,4,5,5,4,5,0,0,satisfied
